DISTRICT,DISTNAME,DA0AT23R,D20AT23R,D30AT23R,D40AT23R,DB0AT23R,DH0AT23R,DW0AT23R,DI0AT23R,DE0AT23R,DS0AT23R,DF0AT23R,DM0AT23R,DL0AT23R,DR0AT23R,DA0AT22R,D20AT22R,D30AT22R,D40AT22R,DB0AT22R,DH0AT22R,DW0AT22R,DI0AT22R,DE0AT22R,DS0AT22R,DF0AT22R,DM0AT22R,DL0AT22R,DR0AT22R,DA0CA23R,DB0CA23R,DH0CA23R,DW0CA23R,DI0CA23R,D30CA23R,D40CA23R,D20CA23R,DE0CA23R,DS0CA23R,DL0CA23R,DR0CA23R,DA0CA22R,DB0CA22R,DH0CA22R,DW0CA22R,DI0CA22R,D30CA22R,D40CA22R,D20CA22R,DE0CA22R,DS0CA22R,DL0CA22R,DR0CA22R
'001902,CAYUGA ISD,95.6,95.6,-1,.,96.4,95,95.6,-1,95.1,95.2,95.6,95.6,94.3,95,95.3,95.7,-1,.,96.5,94.3,95.4,.,94.4,94.7,95.3,95.3,95.2,94.8,9,10.3,7.4,9.5,-1,-1,.,0,10.1,10.4,25,12.1,10.5,8.3,19.7,9.5,.,-1,.,8.3,17.4,11,14.3,14.4
'001903,ELKHART ISD,96.1,95.6,-1,-1,95.7,95.8,96.2,-1,95.6,95.3,96,96.2,96.2,95.5,95.1,95.6,-1,-1,95.3,95.1,95,-1,94,94.3,95,95.1,94.7,94,8.9,11.1,12.5,7.8,-1,-1,-1,17.4,11.9,10.4,3.8,12.9,12.3,12.2,9.6,12.4,-1,-1,-1,17.1,17.4,14,6.7,16.1
'001904,FRANKSTON ISD,95.4,94.6,97.5,.,96.2,95.8,95.2,-1,94.8,94.8,95,95.6,96.6,95,95.1,95.3,94.8,.,94.5,95.7,95,-1,94.4,94.1,95.3,94.8,96.4,94.2,12.1,9.7,8,12.4,-1,25,.,22.6,15,12.7,3.1,14.4,15.7,19.7,10.1,15.8,-1,25,.,19.4,21.3,24,6.3,20.8
'001906,NECHES ISD,96.3,96.1,-1,.,96,96.2,96.3,-1,95.9,96.2,96,96.6,93.8,95.8,93.8,93.1,-1,.,93.1,95.3,93.7,-1,92.5,94,93.6,94.1,97.1,92.6,8.8,12.5,7.5,9.1,-1,-1,.,0,10.4,11.1,28.6,13.1,22,20,14.6,23.3,-1,-1,.,30,31.4,22.2,0,31.1
'001907,PALESTINE ISD,95.3,94,96.2,-1,95.5,95.6,94.9,93.9,95.1,93.9,95.2,95.4,95.9,94.9,93.2,90.1,95.4,-1,93.5,93.6,92.5,87.2,92.8,91.1,93.1,93.2,94,92.5,11.3,10.8,9.6,13,14.3,11.1,-1,19.8,12.1,18.5,8.1,13,21.3,20.4,18.2,24.6,62.5,8.3,-1,35.8,22.6,29.6,17.3,24.7
'001908,WESTWOOD ISD,94.5,92.3,-1,-1,94.4,95,94.5,95,94,93.9,94.5,94.4,95.3,94.2,93.4,92.2,-1,-1,93.1,94.4,93.1,91.6,93,92.9,93.4,93.5,94.6,93.1,16.4,13,14.7,17.4,0,0,-1,33.3,17.5,18.3,14.3,16.6,21.7,20,15.8,23.7,30,33.3,-1,37.7,23.6,21.8,16.5,23.3
'001909,SLOCUM ISD,97,96.3,-1,.,-1,97.8,97,.,96.9,96,97,97.1,-1,96.5,95.5,94.4,-1,.,-1,95.7,95.5,.,95.1,94,95.6,95.3,-1,94.5,6.1,-1,4.2,6.3,.,-1,.,0,6,11.9,-1,8,10.9,-1,6.9,10.8,.,-1,.,23.1,13.1,17.5,-1,16.1
'002901,ANDREWS ISD,93.2,93.5,97.8,.,89.5,93.2,93.3,93.9,92.5,92.4,93,93.5,93.9,92.8,92.6,91.8,97.1,.,91.1,92.5,92.9,91.8,91.8,91.7,92.4,92.8,93.4,91.8,22.3,50,22.6,21.5,22.2,0,.,20.8,26.3,26.3,19.6,23.9,26.3,44.1,27.1,23.7,33.3,0,.,29,31.3,30.8,23.7,31.6
'003801,PINEYWOODS COMMUNITY ACADEMY,94.3,95.6,97.7,-1,94.5,94.5,93.9,-1,94.1,93.9,94.3,94.3,94.1,93.5,92.5,94.1,96.2,-1,92.9,92.7,92,-1,92,92.4,92.1,92.9,92.7,91.6,17.9,19.6,14.5,20.5,-1,0,-1,14.7,20.1,19.9,13.5,23.1,24.2,21.5,21.6,27.7,-1,11.1,-1,17.9,28,24.8,22.2,27.2
'003902,HUDSON ISD,94.9,95.2,94.2,-1,93.8,95.2,94.9,94.2,94.3,94.1,94.9,94.9,95.7,94.2,93.5,93.2,95.1,-1,91.5,93.8,93.6,91.9,92.7,92.4,93.3,93.7,94.7,92.9,12.8,21.6,11.7,11.8,16.7,24.1,-1,13.4,16.6,17.3,8.1,16.5,18.9,33.8,16.9,17.8,50,24,-1,16.9,24.7,29.1,14.9,22.5
