county_name,county_population,total,fail_to_attend_cases_filed_2020,parents_contrib_to_nonattend_cases_filed_2020,fail_to_attend_cases_filed_2021,parents_contrib_to_nonattend_cases_filed_2021,fail_to_attend_cases_filed_2022,parents_contrib_to_nonattend_cases_filed_2022,fail_to_attend_cases_filed_2023,parents_contrib_to_nonattend_cases_filed_2023,fail_to_attend_cases_filed_2024,parents_contrib_to_nonattend_cases_filed_2024,fail_to_attend_cases_filed_2025,parents_contrib_to_nonattend_cases_filed_2025
Harris,"5,009,302","2,558",941,389,18,12,68,75,140,223,51,339,25,277
Dallas,"2,656,028",488,242,8,19,18,80,16,0,41,0,32,0,32
Tarrant,"2,230,708","8,799",353,425,378,539,810,776,"1,162",915,"1,152",846,661,782
Bexar,"2,127,737",1,0,0,0,0,1,0,0,0,0,0,0,0
Travis,"1,363,767","3,383",184,512,173,417,156,478,172,424,141,354,66,306
Collin,"1,254,658","3,377",197,247,259,241,352,240,308,346,367,380,194,246
Denton,"1,045,120","2,664",57,244,53,268,55,290,247,406,339,368,126,211
Fort Bend,"958,434","2,058",313,44,222,102,184,54,298,114,386,124,141,76
Hidalgo,"914,820",0,0,0,,,,,,,,,,
El Paso,"875,784","10,062",250,130,224,464,777,825,"1,211","1,433","1,602","1,827",543,776
Montgomery,"749,613","4,720",226,272,466,368,442,406,509,596,364,450,320,301
Williamson,"727,480","3,233",266,94,183,59,290,69,736,347,580,179,279,151
Cameron,"431,874",110,0,0,0,3,0,36,0,0,0,25,0,46
Brazoria,"413,224","6,506",453,434,591,545,607,626,621,610,702,736,307,274
Bell,"399,578","3,006",187,53,285,59,452,46,502,79,666,64,549,64
Galveston,"367,407",651,94,32,39,75,156,23,57,71,36,26,29,13
Nueces,"353,125","10,457",720,"1,062",641,"1,181","1,008","1,785","1,034","1,560",438,535,200,293
Lubbock,"327,394","1,035",0,110,0,150,0,332,0,169,0,234,0,40
Hays,"292,029","1,076",43,63,49,44,162,78,77,92,107,209,75,77
Webb,"272,823","2,702",112,152,211,272,184,276,224,359,269,311,138,194
McLennan,"270,358","3,546",400,295,398,237,320,427,207,295,265,308,200,194
Jefferson,"253,948",309,3,51,8,33,14,26,9,37,0,61,0,67
Brazos,"249,624",670,0,182,0,72,0,137,0,69,0,126,0,84
Smith,"249,091",783,0,167,0,213,0,121,0,93,0,132,0,57
Ellis,"232,387",930,35,9,6,3,0,113,3,231,10,232,4,284
Johnson,"210,547","2,001",11,243,21,317,45,314,14,372,33,397,2,232
Comal,"201,628",490,31,17,29,31,43,46,41,51,58,90,11,42
Kaufman,"197,829",811,63,31,52,22,42,23,55,106,5,288,0,124
Guadalupe,"195,166",637,0,44,0,134,0,144,0,163,0,96,0,56
Midland,"183,587","1,867",46,202,85,86,105,250,488,380,31,135,21,38
Parker,"179,707",839,43,51,56,18,74,44,121,82,120,85,58,87
Ector,"170,022",0,0,0,0,0,0,0,0,0,0,0,0,0
Randall,"150,547","1,920",108,39,154,25,163,54,267,195,233,365,131,186
Grayson,"150,532",536,3,13,9,27,55,121,29,58,71,99,15,36
Taylor,"148,813",316,48,0,31,2,83,1,64,0,46,0,41,0
Rockwall,"137,044",484,21,5,28,22,69,61,58,49,94,31,29,17
Wichita,"129,984","1,660",0,344,0,140,0,225,0,373,0,383,0,195
Gregg,"126,679","1,503",0,240,0,204,0,294,0,250,0,265,0,250
Tom Green,"120,103",30,0,0,0,8,0,5,0,12,0,2,0,3
Hunt,"118,729",486,0,9,0,6,0,50,0,108,0,244,0,69
Liberty,"115,042",843,0,80,12,79,21,150,44,154,56,145,39,63
Bastrop,"114,931",1,0,0,0,0,0,1,0,0,0,0,0,0
Potter,"114,649","1,507",0,38,0,120,0,211,0,341,215,323,113,146
Bowie,"91,992",497,12,9,5,23,48,41,64,53,68,48,62,64
Victoria,"91,949","1,233",79,67,38,65,67,69,69,100,109,208,134,228
Angelina,"88,094",112,0,20,0,28,0,14,0,10,0,11,0,29
Henderson,"87,467","1,047",52,86,20,162,8,183,1,152,20,173,0,190
Coryell,"86,370",0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,"86,115",657,6,31,0,115,3,124,0,120,0,150,0,108
Walker,"83,722",2,0,1,0,1,0,0,0,0,0,0,0,0
Wise,"81,275",407,6,23,37,55,21,34,55,50,45,25,21,35
San Patricio,"71,467","1,808",12,247,28,279,101,243,46,279,41,301,29,202
Harrison,"71,370",426,50,0,4,0,16,44,68,101,0,128,0,15
Hood,"69,126",566,33,61,0,10,21,31,65,128,91,126,0,0
Starr,"66,587",810,0,23,0,15,0,26,0,170,0,399,0,177
Nacogdoches,"65,728",472,23,10,34,22,142,37,50,51,61,39,1,2
Van Zandt,"65,304",547,40,58,34,44,27,55,46,76,17,119,9,22
Waller,"65,109",96,0,33,0,12,0,0,0,2,0,22,0,27
Anderson,"59,512",321,12,19,37,40,42,57,21,20,30,13,19,11
Maverick,"58,829",0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,"58,670",229,0,15,0,17,0,13,0,24,24,54,0,82
Navarro,"56,533",45,0,8,0,10,0,18,0,4,0,5,0,0
Chambers,"56,179",160,25,9,0,12,10,10,15,34,0,26,0,19
Burnet,"55,722",244,15,17,23,32,10,17,19,31,21,28,13,18
Medina,"55,619",918,0,64,0,80,1,113,0,289,0,287,0,84
Wilson,"55,415",595,0,13,0,42,0,25,24,55,78,149,83,126
