city_name,city_population,total,failure_to_attend_muni_cases_2020,parent_contrib_to_nonattend_muni_cases_2020,failure_to_attend_muni_cases_2021,parent_contrib_to_nonattend_muni_cases_2021,failure_to_attend_muni_cases_2022,parent_contrib_to_nonattend_muni_cases_2022,failure_to_attend_muni_cases_2023,parent_contrib_to_nonattend_muni_cases_2023,failure_to_attend_muni_cases_2024,parent_contrib_to_nonattend_muni_cases_2024,failure_to_attend_muni_cases_2025,parent_contrib_to_nonattend_muni_cases_2025
Fort Worth,"741,206","2,730",48,95,52,49,136,156,255,625,368,744,59,143
Rockport,"8,766","1,622",135,147,201,260,169,218,77,105,82,155,20,53
Bastrop,"7,218","1,299",0,95,0,134,0,251,0,199,0,273,0,347
Mabank,"3,035","1,207",0,204,0,185,0,225,0,296,0,186,0,111
Odessa,"99,940","1,113",0,357,0,12,0,84,0,660,0,0,0,0
Marble Falls,"6,077","1,063",113,224,49,94,51,90,64,128,44,127,28,51
Wylie,"41,427",999,52,68,68,59,61,77,95,131,142,140,52,54
Lockhart,"12,698",623,32,141,30,128,31,21,37,18,30,90,25,40
Lufkin,"35,067",574,17,65,0,79,0,45,0,110,0,136,0,122
Dalhart,"7,930",572,0,0,0,0,0,0,0,0,0,0,286,286
Wortham,"1,073",366,0,0,0,0,0,0,0,0,0,0,183,183
Copperas Cove,"32,032",361,0,0,0,0,0,0,52,21,28,50,96,114
Pearsall,"9,146",328,7,0,33,21,45,18,40,17,80,35,23,9
San Angelo,"93,200",277,0,37,0,74,0,57,0,59,0,18,0,32
Kerrville,"22,347",229,20,0,10,0,47,0,56,0,93,0,3,0
Dumas,"14,691",223,0,0,0,5,0,31,0,23,0,108,0,56
Dayton,"7,242",210,0,7,0,0,0,0,0,0,0,82,0,121
Woodville,"2,586",206,0,22,0,9,1,43,0,80,0,25,0,26
Big Spring,"27,282",193,0,0,0,0,0,0,0,0,3,190,,
Edinburg,"77,100",150,0,14,0,0,0,11,0,41,0,84,0,0
Mission,"77,058",137,11,0,0,0,0,0,19,0,66,0,41,0
Silsbee,"6,611",136,0,75,0,58,0,3,0,0,0,0,0,0
Dilley,"3,894",132,23,1,7,0,29,0,17,6,24,2,15,8
DeSoto,"49,047",77,2,0,0,0,7,0,36,0,13,0,19,0
Raymondville,"11,284",77,0,24,0,0,0,0,0,34,0,19,,
Center,"5,193",73,28,0,28,0,6,0,3,0,4,0,4,0
Brownsville,"175,023",52,1,0,24,0,24,0,3,0,0,0,0,0
Josephine,812,51,0,0,0,0,0,0,24,0,27,0,0,0
Tyler,"96,900",47,0,0,0,0,0,0,0,0,4,0,43,0
Hempstead,"5,770",44,0,0,0,0,0,0,0,20,0,5,0,19
Benavides,"1,537",36,0,0,0,8,0,20,0,8,0,0,0,0
Fredericksburg,"10,530",36,0,0,0,0,0,0,10,0,15,0,3,8
Marlin,"5,967",36,22,0,14,0,0,0,0,0,0,0,0,0
Hillsboro,"8,456",34,4,1,6,8,3,1,2,0,2,3,3,1
Coleman,"4,709",29,0,3,8,14,0,0,0,4,0,0,,
Smithville,"3,817",29,2,0,11,1,0,0,11,0,4,0,0,0
Pineland,850,22,0,0,0,6,0,8,0,6,1,0,1,0
Caddo Mills,"1,338",20,0,0,0,5,0,4,0,1,0,2,0,8
Frisco,"116,989",18,0,13,0,5,0,0,0,0,0,0,0,0
Huntington,"2,118",17,0,8,0,9,0,0,0,0,0,0,0,0
Three Rivers,"1,848",16,0,4,0,2,1,8,0,0,1,0,0,0
Bonham,"10,127",14,0,12,0,2,0,0,0,0,0,0,0,0
Hawley,634,10,0,0,0,1,0,1,0,4,0,4,,
North Richland Hills,"63,343",10,0,10,0,0,0,0,0,0,0,0,0,0
Seminole,"6,430",10,0,10,0,0,0,0,0,0,0,0,0,0
Hemphill,"1,198",9,2,0,0,0,0,0,4,0,1,0,2,0
Watauga,"23,497",9,0,0,0,0,0,0,0,0,0,9,0,0
Marfa,"1,981",6,0,0,0,0,0,0,0,0,0,6,0,0
Pleasanton,"8,934",5,0,0,0,0,2,0,3,0,0,0,0,0
Socorro,"32,013",5,0,0,5,0,0,0,0,0,0,0,0,0
Atlanta,"5,675",4,3,0,0,0,0,0,1,0,0,0,0,0
Clarendon,"2,026",4,0,0,0,0,0,0,0,4,0,0,0,0
Daisetta,966,4,0,0,0,0,0,0,0,0,0,4,0,0
League City,"83,560",4,0,0,0,0,0,0,1,0,2,0,1,0
Natalia,"1,431",4,0,0,0,4,0,0,0,0,0,0,,
Sinton,"5,665",4,4,0,0,0,0,0,0,0,0,0,0,0
Star Harbor,444,4,0,0,0,0,0,0,0,0,0,0,2,2
Vidor,"10,579",4,2,0,2,0,0,0,0,0,0,0,,
De Kalb,"1,699",3,0,0,0,3,0,0,0,0,0,0,0,0
Jefferson,"2,106",3,0,0,0,0,0,3,0,0,0,0,0,0
Levelland,"13,542",3,0,0,1,0,2,0,0,0,0,0,0,0
Stephenville,"17,123",3,0,0,0,0,0,0,0,0,0,3,0,0
Sunray,"1,926",3,0,0,2,1,0,0,0,0,0,0,0,0
Vernon,"11,002",3,0,1,0,0,0,0,0,0,0,1,0,1
Whitney,"2,087",3,0,0,0,0,0,0,0,1,0,2,0,0
Azle,"10,947",2,0,0,0,0,0,1,0,1,0,0,0,0
Portland,"15,099",2,1,0,0,0,1,0,0,0,0,0,0,0
Rowlett,"56,199",2,0,0,0,0,0,0,0,2,0,0,0,0
Sour Lake,"1,813",2,2,0,0,0,0,0,0,0,0,0,0,0
Texas City,"45,099",2,0,0,0,0,0,0,0,0,2,0,0,0
Austin,"790,390",1,0,0,0,0,0,0,0,1,0,0,0,0
Bartlett,"1,623",1,0,0,0,0,1,0,0,0,0,0,0,0
Beeville,"12,863",1,1,0,0,0,0,0,0,0,0,0,0,0
Carrollton,"119,097",1,0,1,0,0,0,0,0,0,0,0,0,0
Clifton,"3,442",1,0,1,0,0,0,0,0,0,0,0,0,0
Denver City,"4,479",1,0,0,0,0,0,0,0,0,0,0,0,1
Ector,695,1,0,0,0,0,0,0,0,0,0,1,,
Frost,643,1,0,0,0,0,0,0,0,0,1,0,,
Huntsville,"38,548",1,0,1,0,0,0,0,0,0,0,0,0,0
La Marque,"14,509",1,0,0,0,0,0,0,0,0,1,0,0,0
Lampasas,"6,681",1,0,0,0,0,1,0,0,0,0,0,0,0
Odem,"2,389",1,0,0,0,1,0,0,0,0,0,0,0,0
Olney,"3,285",1,0,0,0,0,0,0,0,0,0,1,0,0
Abernathy,"2,805",0,0,0,0,0,0,0,0,0,0,0,0,0
Abilene,"117,063",0,0,0,0,0,0,0,0,0,0,0,,
Addison,"13,056",0,0,0,0,0,0,0,0,0,0,0,0,0
"Agua Dulce, City of",715,0,0,0,0,0,0,0,,,,,,
Alamo,"18,353",0,0,0,0,0,0,0,0,0,0,0,0,0
Alamo Heights,"7,031",0,0,0,0,0,0,0,0,0,0,0,0,0
Alba,504,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,"2,034",0,0,0,0,0,0,0,0,0,0,0,0,0
Aledo,"2,716",0,0,0,0,0,0,0,0,0,0,0,,
Alice,"19,104",0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,"84,246",0,0,0,0,0,0,0,0,0,0,0,0,0
Alma,318,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpine,"5,905",0,0,0,0,0,0,0,0,0,0,0,,
Alto,"1,225",0,0,0,0,0,0,0,0,0,0,0,0,0
Alton,"12,341",0,0,0,0,0,0,0,0,0,0,0,0,0
Alvarado,"3,785",0,0,0,0,0,0,0,0,0,0,0,0,0
Alvin,"24,236",0,0,0,0,0,0,0,0,0,0,0,0,0
Alvord,"1,334",0,,,,,0,0,0,0,0,0,0,0
Amarillo,"190,695",0,0,0,0,0,0,0,0,0,0,0,0,0
Ames,"1,138",0,,,,,,,0,0,0,0,0,0
Amherst,721,0,0,0,0,0,0,0,0,0,0,0,0,0
Anahuac,"1,988",0,0,0,0,0,0,0,0,0,,,,
Andrews,"11,088",0,0,0,0,0,0,0,0,0,0,0,0,0
Angleton,"18,862",0,0,0,0,0,0,0,0,0,0,0,0,0
Angus,402,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna,"8,249",0,0,0,0,0,0,0,0,0,0,0,0,0
Anson,"2,430",0,0,0,0,0,0,0,0,0,0,0,,
Anthony,"5,011",0,0,0,0,0,0,0,0,0,0,0,0,0
Anton,"1,126",0,0,0,0,0,0,0,0,0,0,0,,
Aransas Pass,"8,204",0,0,0,0,0,0,0,0,0,0,0,0,0
Archer City,"1,834",0,0,0,0,0,0,0,0,0,0,0,0,0
Arcola,"1,642",0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle,"3,282",0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,"365,438",0,0,0,0,0,0,0,0,0,0,0,0,0
Arp,970,0,0,0,0,0,0,0,0,0,0,0,0,0
Asherton,"1,264",0,,,,,,,,,,,,
Athens,"12,710",0,0,0,0,0,0,0,0,0,0,0,0,0
Aubrey,"2,595",0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,"1,220",0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Community Court,"790,390",0,0,0,0,0,0,0,0,0,0,0,0,0
Avinger,444,0,0,0,0,0,0,0,0,0,,,,
Baird,"1,496",0,0,0,0,0,0,0,0,0,0,0,0,0
Balch Springs,"23,728",0,0,0,0,0,0,0,0,0,0,0,0,0
Balcones Heights,"2,941",0,0,0,0,0,0,0,0,0,0,0,0,0
Ballinger,"3,767",0,0,0,0,0,0,0,0,0,0,0,0,0
Bandera,857,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangs,"1,603",0,0,0,0,0,0,0,0,0,0,0,0,0
Bardwell,649,0,0,0,0,0,,,,,,,,
Bartonville,"1,469",0,0,0,0,0,0,0,0,0,0,0,0,0
Bay City,"17,614",0,0,0,0,0,0,0,0,0,0,0,0,0
Bayou Vista,"1,537",0,0,0,0,0,0,0,0,0,0,0,0,0
Bayside,325,0,0,0,0,0,0,0,0,0,0,0,0,0
Baytown,"71,802",0,0,0,0,0,0,0,0,0,0,0,,
Beach City,"1,783",0,0,0,0,0,0,0,0,0,0,0,0,0
Beasley,641,0,,,,,,,,,,,,
Beaumont,"118,296",0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,"46,979",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bee Cave, City of","3,925",0,0,0,0,0,0,0,0,0,0,0,0,0
Bellaire,"16,855",0,0,0,0,0,0,0,0,0,0,0,0,0
Bellmead,"9,901",0,0,0,0,0,0,0,0,0,0,0,0,0
Bells,"1,392",0,0,0,0,0,0,0,0,0,0,0,0,0
Bellville,"4,097",0,0,0,0,0,0,0,0,0,0,0,0,0
Belton,"18,216",0,0,0,0,0,0,0,0,0,0,0,0,0
Benbrook,"21,234",0,0,0,0,0,0,0,0,0,0,0,0,0
Berryville,975,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertram,"1,353",0,0,0,0,0,0,0,0,0,0,0,0,0
Beverly Hills,"1,995",0,0,0,0,0,0,0,0,0,0,0,0,0
Bevil Oaks,"1,274",0,0,0,0,0,0,0,0,0,,,,
Big Lake,"2,936",0,0,0,0,0,0,0,0,0,0,0,0,0
Big Sandy,"1,343",0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,"3,134",0,0,0,0,0,0,0,0,0,0,0,0,0
Blanco,"1,739",0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomburg,404,0,0,0,0,0,0,0,0,0,,,,
Blooming Grove,821,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Mound,"2,394",0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Ridge,822,0,0,0,0,0,0,0,0,0,0,0,,
Boerne,"10,471",0,0,0,0,0,0,0,0,0,0,0,0,0
Bogata,"1,153",0,,,,,,,,,,,,
Booker,"1,516",0,0,0,0,0,0,0,0,0,0,0,0,0
Borger,"13,251",0,0,0,0,0,0,0,0,0,0,0,0,0
Bovina,"1,868",0,0,0,0,0,0,0,0,0,0,0,0,0
Bowie,"5,218",0,0,0,0,0,0,0,0,0,0,0,0,0
Boyd,"1,207",0,0,0,0,0,0,0,0,0,0,0,0,0
Brackettville,"1,688",0,,,,,,,,,,,,
Brady,"5,528",0,0,0,0,0,0,0,0,0,0,0,0,0
Brazoria,"3,019",0,0,0,0,0,0,0,0,0,0,0,0,0
Breckenridge,"5,780",0,0,0,0,0,0,0,0,0,0,0,0,0
Bremond,929,0,0,0,0,0,0,0,0,0,0,0,0,0
Brenham,"15,716",0,0,0,0,0,0,0,0,0,0,0,0,0
Briarcliff,"1,438",0,0,0,0,0,0,0,0,0,0,0,0,0
Briaroaks,492,0,0,0,0,0,0,0,0,0,,,,
Bridge City,"7,840",0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport,"5,976",0,0,0,0,0,0,0,0,0,0,0,0,0
Bronte,999,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookshire,"4,702",0,0,0,0,0,0,0,0,0,0,0,0,0
Brookside Village,"1,523",0,0,0,0,0,0,0,0,0,0,0,0,0
Brownfield,"9,657",0,0,0,0,0,0,0,0,0,0,0,0,0
Brownsboro,"1,039",0,0,0,0,0,0,0,0,0,0,0,0,0
Brownwood,"19,288",0,0,0,,,,,,,,,,
Bruceville-Eddy,"1,475",0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,"76,201",0,0,0,0,0,0,0,0,0,0,0,0,0
Bryson,539,0,0,0,0,0,0,0,0,0,,,,
Buckholts,515,0,0,0,0,0,0,0,0,0,0,0,0,0
Buda,"7,295",0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,"1,856",0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo Springs,453,0,0,0,0,0,0,0,0,0,,,,
Bullard,"2,463",0,0,0,0,0,0,0,0,0,0,0,0,0
Bulverde,"4,630",0,0,0,0,0,0,0,0,0,0,0,0,0
Bunker Hill,"3,633",0,0,0,0,0,0,0,0,0,0,0,0,0
Burkburnett,"10,811",0,0,0,0,0,0,0,0,0,0,0,0,0
Burleson,"36,690",0,0,0,0,0,0,0,0,0,0,0,0,0
Burnet,"5,987",0,0,0,0,0,0,0,0,0,0,0,0,0
Burton,300,0,0,0,0,0,,,,,,,,
Cactus,"3,179",0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,"4,104",0,0,0,0,0,0,0,0,0,0,0,0,0
Calvert,"1,192",0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,"5,552",0,,,,,,,,,,,,
Camp Wood,706,0,,,,,,,,,,,,
Canadian,"2,649",0,0,0,0,0,0,0,0,0,0,0,0,0
Caney City,217,0,,,,,0,0,0,0,0,0,0,0
Canton,"3,581",0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon,"13,303",0,0,0,0,0,0,0,0,0,0,0,0,0
Carrizo Springs,"5,368",0,0,0,0,0,0,0,0,0,,,,
Carthage,"6,779",0,0,0,0,0,0,0,0,0,0,0,,
Castle Hills,"4,116",0,0,0,0,0,0,0,0,0,0,0,0,0
Castroville,"2,680",0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Hill,"45,028",0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Park,"48,937",0,0,0,0,0,0,0,0,0,0,0,0,0
Celeste,814,0,0,0,0,0,0,0,0,0,0,0,0,0
Celina,"6,028",0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler,"2,734",0,0,0,0,0,0,0,0,0,0,0,0,0
Channing,363,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,"1,715",0,0,0,0,0,0,0,0,0,0,0,0,0
Chico,"1,002",0,,,,,,,,,,,,
Childress,"6,105",0,0,0,0,0,0,0,0,0,0,0,0,0
Chillicothe,707,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"1,160",0,,,,,,,,,,,,
China Grove,"1,179",0,0,0,0,0,0,0,0,0,0,0,0,0
Cibolo,"15,349",0,0,0,0,0,0,0,0,0,0,0,0,0
Cisco,"3,899",0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville,"3,285",0,0,0,0,0,0,0,0,0,0,0,0,0
Clarksville City,865,0,0,0,0,0,0,0,0,0,0,0,0,0
Claude,"1,196",0,0,0,0,0,0,0,0,0,,,,
Clear Lake Shores,"1,063",0,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne,"29,337",0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,"7,675",0,0,0,0,0,0,0,0,0,0,0,0,0
Clint,926,0,,,,,,,,,,,,
Clute,"11,211",0,0,0,0,0,0,0,0,0,0,0,0,0
Clyde,"3,713",0,0,0,0,0,0,0,0,0,0,0,0,0
Cockrell Hill,"4,193",0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee City,278,0,0,0,0,0,0,0,0,0,0,0,0,0
College Station,"93,857",0,0,0,0,0,0,0,0,0,0,0,0,0
Colleyville,"22,807",0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsville,"1,624",0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado City,"4,146",0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,"3,655",0,0,0,0,0,0,0,0,0,0,0,0,0
Comanche,"4,335",0,0,0,0,0,0,0,0,0,0,0,0,0
Combes,"2,895",0,0,0,0,0,0,0,0,0,0,0,0,0
Combine,"1,942",0,0,0,0,0,0,0,0,0,0,0,0,0
Commerce,"8,078",0,0,0,0,0,0,0,0,0,0,0,0,0
Como,702,0,,,,,,,,,,,,
Conroe,"56,207",0,0,0,0,0,0,0,0,0,0,0,0,0
Converse,"18,198",0,0,0,0,0,0,0,0,0,0,0,0,0
Coolidge,955,0,0,0,0,0,0,0,0,0,0,0,,
Cooper,"1,969",0,0,0,0,0,0,0,0,0,0,0,0,0
Coppell,"38,659",0,0,0,0,0,0,0,0,0,0,0,0,0
Copper Canyon,"1,334",0,0,0,0,0,0,0,0,0,0,0,0,0
Corinth,"19,935",0,0,0,0,0,0,0,0,0,0,0,0,0
Corpus Christi,"305,215",0,0,0,0,0,0,0,0,0,0,0,0,0
Corral City,27,0,,,,,,,,,,,,
Corrigan,"1,595",0,0,0,0,0,0,0,0,0,0,0,0,0
Corsicana,"23,770",0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,185,0,,,,,,,,,,,,
Cottonwood Shores,"1,123",0,0,0,0,0,0,0,0,0,0,0,0,0
Cotulla,"3,603",0,0,0,0,0,0,0,0,0,0,0,,
Covington,269,0,0,0,0,0,,,,,,,,
Crandall,"2,858",0,0,0,0,0,0,0,0,0,0,0,0,0
Crane,"3,353",0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,717,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett,"6,950",0,0,0,0,0,0,0,0,0,0,0,0,0
Crosbyton,"1,741",0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Plains,982,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Roads,"1,563",0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Timber,268,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowell,948,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowley,"12,838",0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal City,"7,138",0,,,,,,,0,0,,,,
Cuero,"6,841",0,0,0,0,0,0,0,0,0,0,0,0,0
Cumby,777,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuney,140,0,0,0,0,0,0,0,0,0,0,0,0,0
Cut and Shoot,"1,070",0,0,0,0,0,0,0,0,0,0,0,0,0
Daingerfield,"2,560",0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,"1,197,816",0,0,0,0,0,0,0,0,0,0,0,0,0
Dalworthington Gardens,"2,259",0,0,0,0,0,0,0,0,0,0,0,0,0
Danbury,"1,715",0,0,0,0,0,0,0,0,0,0,0,0,0
Dawson,807,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton Lakes,93,0,0,0,0,0,0,0,0,0,,,,
De Leon,"2,246",0,0,0,0,0,0,0,0,0,0,0,0,0
Decatur,"6,042",0,0,0,0,0,0,0,0,0,0,0,0,0
Deer Park,"32,010",0,0,0,0,0,0,0,0,0,0,0,0,0
Del Rio,"35,591",0,0,0,0,0,0,0,0,0,0,0,0,0
Denison,"22,682",0,0,0,0,0,0,0,0,0,0,0,0,0
Denton,"113,383",0,0,0,0,0,0,0,0,0,0,0,0,0
Devine,"4,350",0,0,0,0,0,0,0,0,0,0,0,0,0
Diboll,"4,776",0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,"18,680",0,0,0,0,0,0,0,0,0,0,0,0,0
Dimmitt,"4,393",0,0,0,0,0,0,0,,,0,0,0,0
"Dish, City of",201,0,0,0,0,0,0,0,0,0,0,0,,
Dodd City,369,0,,,,,,,,,,,,
Domino,93,0,,,0,0,,,,,,,,
Donna,"15,798",0,0,0,0,0,0,0,0,0,0,0,0,0
Double Oak,"2,867",0,0,0,0,0,0,0,0,0,0,0,0,0
Dripping Springs,"1,788",0,0,0,0,0,0,0,0,0,,,,
Driscoll,739,0,0,0,0,0,0,0,0,0,,,,
Dublin,"3,654",0,0,0,0,0,0,0,0,0,0,0,0,0
Duncanville,"38,524",0,0,0,0,0,0,0,0,0,0,0,0,0
Eagle Lake,"3,639",0,0,0,0,0,0,0,0,0,0,0,0,0
Eagle Pass,"26,248",0,0,0,0,0,0,0,0,0,0,0,0,0
Early,"2,762",0,0,0,0,0,0,0,0,0,0,0,0,0
Earth,"1,065",0,0,0,0,0,0,0,,,,,,
East Bernard,"2,272",0,0,0,0,0,0,0,0,0,0,0,,
East Mountain,797,0,0,0,0,0,0,0,0,0,0,0,0,0
East Tawakoni,883,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastland,"3,960",0,0,0,0,0,0,0,0,0,0,0,0,0
Easton,510,0,,,,,,,,,,,,
Edcouch,"3,161",0,,,,,,,,,,,,
Eden,"2,766",0,0,0,0,0,0,0,0,0,0,0,0,0
Edgecliff Village,"2,776",0,0,0,0,0,,,,,,,,
Edgewood,"1,441",0,0,0,0,0,0,0,0,0,0,0,0,0
Edna,"5,499",0,0,0,0,0,0,0,0,0,0,0,0,0
El Campo,"11,602",0,0,0,0,0,0,0,0,0,0,0,0,0
El Cenizo,"3,273",0,,,,,,,,,,,,
El Lago,"2,706",0,0,0,0,0,0,0,0,0,0,0,,
El Paso,"649,121",0,0,0,0,0,0,0,0,0,0,0,0,0
Eldorado,"1,951",0,0,0,0,0,0,0,,,,,,
